CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCGNO3502M1,LAGUNA DE CHAMPAYAN BOCA TOMA 3 DE MAYO,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,RÍO TAMESÍ,LAGUNA DE CHAMPAYAN,LÉNTICO,LAGO,"-98,02772","22,40649",2012-2021,<2,Excelente,"31,88",Aceptable,"12,5",Excelente,"709,5",Aceptable,"55,5",Excelente,,,,,"68,5",Buena calidad,52,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCGNO3503,PRESA ALBERTO CARRERA T. 3,GOLFO NORTE,TAMAULIPAS,MAINERO,RÍO PILÓN 2,PRESA ALBERTO CARRERA TORRES,LÉNTICO (HUMEDAL),PRESA,"-99,46777","24,56044",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,"96,5",Excelente,10,Excelente,,,,,83,Excelente,"75,3",Excelente,"63,75",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCGNO3504,PRESA ALBERTO CARRERA T. 1,GOLFO NORTE,TAMAULIPAS,MAINERO,RÍO PILÓN 2,PRESA ALBERTO CARRERA TORRES,LÉNTICO (HUMEDAL),PRESA,"-99,46934","24,55410",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,"121,5",Buena calidad,8,Excelente,,,,,"83,45",Excelente,"70,7",Excelente,"69,8",Buena calidad,,,,,"1,0",Toxicidad baja,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCGNO3505,"RIO CONCHOS, BURGOS",GOLFO NORTE,TAMAULIPAS,BURGOS,RÍO SAN FERNANDO 1,RIO CONCHOS,LÓTICO,RÍO,"-98,83002","25,04475",2012-2021,<2,Excelente,<10,Excelente,31,Buena calidad,2400,Contaminada,135,Buena calidad,,,"83,785",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGNO3506,LAGUNA LA HERRADURA,GOLFO NORTE,TAMAULIPAS,TAMPICO,RÍO TAMESÍ,LAGUNA LA HERRADURA,LÉNTICO (HUMEDAL),LAGO,"-97,88270","22,26665",2012-2021,"3,995",Buena calidad,"21,54",Aceptable,42,Buena calidad,2400,Contaminada,215,Buena calidad,,,,,85,Excelente,"80,3",Excelente,"104,8",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCGNO3507,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",GOLFO NORTE,TAMAULIPAS,TAMPICO,RÍO TAMESÍ,LAGUNA DEL CHAIREL,LÉNTICO,LAGO,"-97,87640","22,23844",2012-2021,<2,Excelente,"22,905",Aceptable,19,Excelente,1100,Contaminada,"15,5",Excelente,,,,,"81,7",Excelente,"92,1",Excelente,"80,3",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCGNO3508W1,LAGUNA DEL CARPINTERO 1,GOLFO NORTE,TAMAULIPAS,TAMPICO,RÍO PÁNUCO 2,LAGUNA DEL CARPINTERO,LÉNTICO - COSTERO,LAGUNA,"-97,85618","22,23202",2012-2021,"14,8",Aceptable,"16,74",Buena calidad,26,Buena calidad,1956,Contaminada,75,Excelente,41,Excelente,,,"78,935",Excelente,"98,1",Excelente,"80,8",Excelente,,,,,"1,2",Toxicidad baja,,,"11,1",Toxicidad alta,"5,0",Toxicidad alta,Rojo,"CF,TOX_S,TOX_F,",SI,SI,SI,NO,SI,SI,SI,NO,COSTERO
OCGNO3509W1,LAGUNA DEL CARPINTERO PUENTE MACALITO,GOLFO NORTE,TAMAULIPAS,TAMPICO,RÍO PÁNUCO 2,LAGUNA DEL CARPINTERO,LÉNTICO - COSTERO,LAGUNA,"-97,85252","22,22127",2012-2021,"4,8",Buena calidad,<10,Excelente,21,Excelente,1100,Contaminada,4,Excelente,"103,5",Buena calidad,,,"72,2",Excelente,"99,3",Excelente,70,Buena calidad,,,,,<1,No Toxico,,,"5,0",Toxicidad alta,"6,3",Toxicidad alta,Rojo,"CF,TOX_S,TOX_F,",SI,SI,SI,NO,SI,SI,SI,NO,COSTERO
OCGNO3510,"RIO PANUCO, 6.8 KM AGUAS ARRIBA DE LA DESEMBOCADURA DE RIO PANUCO",GOLFO NORTE,,PUEBLO VIEJO,RÍO PÁNUCO 2,RIO PANUCO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,83778","22,23015",2012-2021,<2,Excelente,<10,Excelente,30,Buena calidad,"7069,5",Contaminada,2400,Fuertemente contaminada,625,Fuertemente contaminada,"66,8",Buena calidad,"76,75",Excelente,"71,3",Excelente,"66,95",Buena calidad,<1,No Toxico,<1,No Toxico,,,,,"4,1",Toxicidad moderada,"3,7",Toxicidad moderada,Rojo,"CF,E_COLI,ENT_FEC,",SI,SI,SI,NO,NO,NO,SI,SI,COSTERO
OCGNO3511,"RIO PANUCO, 4.5 KM AGUAS ARRIBA DE LA DESEMBOCADURA DE RIO PANUCO",GOLFO NORTE,,PUEBLO VIEJO,RÍO PÁNUCO 2,RIO PANUCO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,82280","22,24554",2012-2021,<2,Excelente,<10,Excelente,36,Buena calidad,2400,Contaminada,2400,Fuertemente contaminada,"595,5",Fuertemente contaminada,"65,2",Buena calidad,"77,6",Excelente,"72,6",Excelente,"67,3",Buena calidad,<1,No Toxico,<1,No Toxico,,,,,"5,4",Toxicidad alta,"4,7",Toxicidad moderada,Rojo,"CF,E_COLI,ENT_FEC,TOX_S,",SI,SI,SI,NO,NO,NO,SI,NO,COSTERO
OCGNO3512,CANAL EL CHIJOL 1,GOLFO NORTE,,PUEBLO VIEJO,ARROYO TAMACUIL O LA LLAVE,CANAL EL CHIJOL,LÓTICO - COSTERO,CANAL,"-97,80809","22,24237",2012-2021,<2,Excelente,<10,Excelente,35,Buena calidad,1785,Contaminada,"675,5",Aceptable,98,Excelente,"67,66",Buena calidad,82,Excelente,"87,4",Excelente,"69,25",Buena calidad,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,"2,8",Toxicidad moderada,"3,2",Toxicidad moderada,Amarillo,"CF,",SI,SI,SI,NO,SI,SI,SI,SI,COSTERO
OCGNO3513,TERMINAL MARITIMA MADERO,GOLFO NORTE,TAMAULIPAS,CIUDAD MADERO,RÍO PÁNUCO 2,RIO PANUCO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,80638","22,25405",2012-2021,<2,Excelente,<10,Excelente,35,Buena calidad,2400,Contaminada,"2066,5",Fuertemente contaminada,"754,5",Fuertemente contaminada,"79,35",Excelente,"79,45",Excelente,"74,3",Excelente,"70,35",Excelente,<1,No Toxico,<1,No Toxico,,,,,"1,8",Toxicidad moderada,"1,3",Toxicidad baja,Rojo,"CF,E_COLI,ENT_FEC,",SI,SI,SI,NO,NO,NO,SI,SI,COSTERO
OCGNO3514,PANUCO II,GOLFO NORTE,TAMAULIPAS,CIUDAD MADERO,RÍO PÁNUCO 2,RIO PANUCO,LÓTICO - COSTERO,ESTUARIO,"-97,78355","22,26307",2012-2021,<2,Excelente,<10,Excelente,40,Buena calidad,1500,Contaminada,855,Contaminada,222,Contaminada,"72,9",Excelente,"73,9",Excelente,"71,7",Excelente,"70,2",Excelente,<1,No Toxico,<1,No Toxico,,,,,"3,1",Toxicidad moderada,"6,4",Toxicidad alta,Rojo,"CF,E_COLI,ENT_FEC,TOX_F,",SI,SI,SI,NO,NO,NO,SI,NO,COSTERO
OCGNO3515,"GOLFO DE MEXICO MIRAMAR, PLAZA GOBERNADORES",GOLFO NORTE,TAMAULIPAS,CIUDAD MADERO,LAGUNA LAS MARISMAS,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,80058","22,28695",2012-2021,,,,,"40,5",Buena calidad,31,Excelente,,,10,Excelente,,,"79,95",Excelente,,,,,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3516,ESTERO TOPILA 2,GOLFO NORTE,,PÁNUCO,RÍO CHICAYÁN 2,ESTERO TOPILA,LÓTICO,ESTERO,"-98,17352","22,01453",2012-2021,"13,94",Aceptable,"80,23",Contaminada,28,Buena calidad,1500,Contaminada,52,Excelente,,,62,Buena calidad,,,,,,,<1,No Toxico,"534,8",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,TOX_L,",SI,NO,SI,NO,SI,ND,SI,NO,LOTICO
OCGNO3517,ARROYO EL OLMO 2,GOLFO NORTE,TAMAULIPAS,VICTORIA,ÁREA NO AFORADA,ARROYO EL OLMO,LÓTICO,ARROYO,"-99,07550","23,70536",2012-2021,<2,Excelente,"25,02",Aceptable,18,Excelente,11000,Fuertemente contaminada,"572,5",Buena calidad,2419,Fuertemente contaminada,"73,6",Excelente,"78,93",Excelente,,,,,<1,No Toxico,<1,No Toxico,,,,,<1,No Toxico,,,Rojo,"CF,ENT_FEC,",SI,SI,SI,NO,SI,NO,SI,SI,LOTICO
OCGNO3518,PLAYA MIRAMAR,GOLFO NORTE,TAMAULIPAS,CIUDAD MADERO,LAGUNA LAS MARISMAS,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,80714","22,29744",2012-2021,,,,,"53,5",Buena calidad,31,Excelente,,,10,Excelente,,,"77,165",Excelente,,,,,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3519W1,MARISMAS ALTAMIRA SUR,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,MARISMAS ALTAMIRA,LÉNTICO - COSTERO (HUMEDAL),MARISMA,"-97,84170","22,35581",2012-2021,"8,64",Aceptable,"83,955",Contaminada,20,Excelente,1150,Contaminada,5532,Fuertemente contaminada,"85,5",Excelente,,,"47,45",Aceptable,,,,,,,,,<1,No Toxico,<1,No Toxico,"5,4",Toxicidad alta,<1,No Toxico,Rojo,"DQO,CF,E_COLI,TOX_S,",SI,NO,SI,NO,NO,SI,SI,NO,COSTERO
OCGNO3520M1,"RIO TAMESI, BOCATOMA LOS TOMATES",GOLFO NORTE,TAMAULIPAS,ALTAMIRA,RÍO TAMESÍ,RIO TAMESI,LÓTICO,RÍO,"-98,19228","22,46755",2012-2021,<2,Excelente,<10,Excelente,12,Excelente,521,Aceptable,30,Excelente,,,"83,9",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCGNO3521,MARISMAS ALTAMIRA CENTRO,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,MARISMAS ALTAMIRA,COSTERO (HUMEDAL),MARISMA,"-97,86002","22,44184",2012-2021,,,,,124,Aceptable,482,Aceptable,,,10,Excelente,,,"86,5",Excelente,,,,,,,,,,,,,"4,1",Toxicidad moderada,"2,1",Toxicidad moderada,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3522,LAGUNA DEL CHANGO,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,LAGUNA DEL CHANGO,LÉNTICO,LAGO,"-97,87835","22,40310",2012-2021,"18,15",Aceptable,"99,24",Contaminada,"39,5",Buena calidad,1300,Contaminada,205,Buena calidad,,,,,"47,8",Aceptable,39,Aceptable,"45,55",Aceptable,,,,,<1,No Toxico,<1,No Toxico,"1,5",Toxicidad moderada,<1,No Toxico,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LENTICO
OCGNO3523W1,LAGUNA EL CONEJO SUR,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,LAGUNA EL CONEJO,LÉNTICO (HUMEDAL),LAGUNA,"-97,88352","22,42550",2012-2021,"23,9",Aceptable,"99,04",Contaminada,35,Buena calidad,1553,Contaminada,2100,Fuertemente contaminada,52,Excelente,,,"88,7",Excelente,"31,65",Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,"14,9",Toxicidad alta,"2,0",Toxicidad moderada,Rojo,"DQO,CF,E_COLI,TOX_S,",SI,NO,SI,NO,NO,SI,SI,NO,LENTICO
OCGNO3524W1,LAGUNA EL CONEJO NORTE,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,LAGUNA EL CONEJO,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,"-97,88625","22,42884",2012-2021,"24,48",Aceptable,"81,895",Contaminada,"32,5",Buena calidad,1382,Contaminada,640,Aceptable,52,Excelente,,,"89,75",Excelente,"78,8",Excelente,"88,7",Excelente,,,,,<1,No Toxico,<1,No Toxico,"6,9",Toxicidad alta,"8,0",Toxicidad alta,Rojo,"DQO,CF,TOX_S,TOX_F,",SI,NO,SI,NO,SI,SI,SI,NO,COSTERO
OCGNO3525W1,"LAGUNA EL CONEJO, SALIDA",GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,LAGUNA EL CONEJO,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,"-97,87712","22,43139",2012-2021,"24,96",Aceptable,"76,085",Contaminada,"38,99",Buena calidad,"1274,5",Contaminada,750,Aceptable,63,Excelente,,,"78,55",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,"7,7",Toxicidad alta,<1,No Toxico,Rojo,"DQO,CF,TOX_S,",SI,NO,SI,NO,SI,SI,SI,NO,COSTERO
OCGNO3526W1,ESTERO GARRAPATAS,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,ESTERO GARRAPATAS,LÉNTICO,ESTERO,"-97,91795","22,46571",2012-2021,"6,87",Aceptable,"75,83",Contaminada,15,Excelente,2100,Contaminada,370,Buena calidad,146,Buena calidad,"74,1",Excelente,"33,85",Aceptable,,,,,<1,No Toxico,<1,No Toxico,"1,3",Toxicidad baja,<1,No Toxico,"10,3",Toxicidad alta,<1,No Toxico,Rojo,"DQO,CF,TOX_S,",SI,NO,SI,NO,SI,SI,SI,NO,LENTICO
OCGNO3527,GOLFO DE MEXICO (PUERTO ALTAMIRA),GOLFO NORTE,TAMAULIPAS,ALTAMIRA,RÍO BARBERENA 2,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,85373","22,49814",2012-2021,,,,,"48,5",Buena calidad,10,Excelente,,,<3,Excelente,,,"79,8",Excelente,"101,815",Excelente,"101,75",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3528,"GOLFO DE MEXICO, 2 KM ADENTRO BOCA PUERTO ALTAMIRA",GOLFO NORTE,TAMAULIPAS,ALTAMIRA,LAGUNA LAS MARISMAS,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,82185","22,48552",2012-2021,,,,,31,Buena calidad,<3,Excelente,,,<3,Excelente,,,"82,3",Excelente,"77,7",Excelente,"74,77",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3529,RIO BARBERENA AQUILES SERDAN,GOLFO NORTE,TAMAULIPAS,ALTAMIRA,RÍO BARBERENA 2,RIO BARBERENA,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,90598","22,57375",2012-2021,<2,Excelente,"44,187",Contaminada,"52,5",Buena calidad,"82,5",Excelente,43,Excelente,20,Excelente,"84,7",Excelente,"80,4",Excelente,"86,4",Excelente,"70,45",Excelente,<1,No Toxico,<1,No Toxico,,,,,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,SI,SI,SI,COSTERO
OCGNO3530,DESCARGAS DE CAMARONICOLAS A LA LAGUNA DE SAN ANDRES,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO BARBERENA 2,LAGUNA DE SAN ANDRES,LÓTICO - COSTERO,LAGUNA,"-97,89460","22,62991",2012-2021,"2,67",Excelente,"32,11",Aceptable,171,Contaminada,61,Excelente,930,Contaminada,63,Excelente,"62,67",Buena calidad,"68,7",Buena calidad,"88,4",Excelente,"88,3",Excelente,<1,No Toxico,<1,No Toxico,,,,,"2,1",Toxicidad moderada,<1,No Toxico,Amarillo,"SST,E_COLI,",SI,SI,NO,SI,NO,SI,SI,SI,COSTERO
OCGNO3531,"LAGUNA DE SAN ANDRES, CENTRO",GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO BARBERENA 2,LAGUNA DE SAN ANDRES,COSTERO (HUMEDAL),LAGUNA,"-97,87115","22,65355",2012-2021,,,,,72,Buena calidad,12,Excelente,,,<3,Excelente,,,"75,1",Excelente,,,,,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3532,GOLFO DE MEXICO LAGUNA DE SAN ANDRES,GOLFO NORTE,TAMAULIPAS,ALDAMA,LAGUNA DE SAN ANDRÉS,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,83596","22,67397",2012-2021,,,,,39,Buena calidad,<3,Excelente,,,<3,Excelente,,,"78,9",Excelente,"86,9",Excelente,"80,2",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3533,BARRA DE CHAVARRIA,GOLFO NORTE,TAMAULIPAS,ALDAMA,LAGUNA DE SAN ANDRÉS,LAGUNA SAN ANDRÉS,COSTERO,LAGUNA,"-97,83849","22,67424",2012-2021,,,,,"41,25",Buena calidad,9,Excelente,,,<3,Excelente,,,"79,65",Excelente,"91,1",Excelente,"77,85",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3534,"GOLFO DE MEXICO, 2 KM ADENTRO LAGUNA DE SAN ANDRES ALDAMA",GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO BARBERENA 2,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,82625","22,66813",2012-2021,,,,,42,Buena calidad,"5,5",Excelente,,,<3,Excelente,,,83,Excelente,82,Excelente,74,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3535W1,"RIO TIGRE, EJIDO EL MORON",GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,85978","22,71404",2012-2021,,,,,"77,5",Aceptable,10,Excelente,,,"18,5",Excelente,,,68,Buena calidad,"78,13",Excelente,"81,3",Excelente,,,,,,,,,"2,8",Toxicidad moderada,"2,8",Toxicidad moderada,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3536W1,RIO TIGRE 2,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-97,89072","22,73625",2012-2021,<2,Excelente,"29,9",Aceptable,47,Buena calidad,"130,5",Buena calidad,230,Buena calidad,15,Excelente,"41,9",Aceptable,"76,75",Excelente,"70,1",Excelente,"74,2",Excelente,<1,No Toxico,<1,No Toxico,,,,,"2,8",Toxicidad moderada,"4,2",Toxicidad moderada,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,COSTERO
OCGNO3537W1,RIO TIGRE 1,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO - COSTERO,ESTUARIO,"-97,91060","22,78897",2012-2021,,,,,"37,5",Buena calidad,189,Buena calidad,,,"25,5",Excelente,,,"66,1",Buena calidad,64,Buena calidad,"47,7",Aceptable,,,,,,,,,"4,2",Toxicidad moderada,"2,9",Toxicidad moderada,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGNO3538W1,RIO TIGRE,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO - COSTERO,ESTUARIO,"-97,92283","22,81630",2012-2021,"2,51",Excelente,"15,021",Buena calidad,29,Buena calidad,75,Excelente,4600,Fuertemente contaminada,31,Excelente,"58,33",Buena calidad,"59,05",Buena calidad,"54,5",Buena calidad,42,Aceptable,<1,No Toxico,<1,No Toxico,,,,,"3,1",Toxicidad moderada,"8,0",Toxicidad alta,Rojo,"E_COLI,TOX_F,",SI,SI,SI,SI,NO,SI,SI,NO,COSTERO
OCGNO3539,LA TAPADA,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO,RÍO,"-97,94073","22,84171",2012-2021,<2,Excelente,"10,9",Buena calidad,11,Excelente,460,Aceptable,41,Excelente,,,79,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCGNO3540,HIDROMETRICA CHIJOL,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 2,RIO TIGRE,LÓTICO,RÍO,"-98,03539","22,87683",2012-2021,<2,Excelente,<10,Excelente,11,Excelente,"166,5",Buena calidad,55,Excelente,,,"87,865",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCGNO3541,RIO BLANCO AGUAS ABAJO DE LA POBL. DE ALDAMA,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 1,RIO BLANCO,LÓTICO,RÍO,"-98,06293","22,89800",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,3255,Contaminada,435,Buena calidad,,,"74,87",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGNO3542,RIO BLANCO BOMBAS ALDAMA,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO TIGRE 1,RIO BLANCO,LÓTICO,RÍO,"-98,08384","22,92482",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,1908,Contaminada,148,Buena calidad,,,"76,515",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGNO3543,RIO SAN RAFAEL PUENTE CARRETERO,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO SAN RAFAEL 3,RIO SAN RAFAEL,LÓTICO,RÍO,"-97,95312","23,16543",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,1100,Contaminada,51,Excelente,,,"73,7",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGNO3544,PRESA REPUBLICA ESPAÑOLA 2,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO SAN RAFAEL 1,PRESA REPUBLICA ESPAÑOLA,LÉNTICO,PRESA,"-97,97685","23,26083",2012-2021,<2,Excelente,"15,085",Buena calidad,<10,Excelente,"97,5",Excelente,7,Excelente,,,,,"70,2",Excelente,"65,1",Buena calidad,"69,6",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCGNO3545,PRESA REPUBLICA ESPAÑOLA 3,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO SAN RAFAEL 1,PRESA REPUBLICA ESPAÑOLA,LÉNTICO,PRESA,"-97,99277","23,26193",2012-2021,<2,Excelente,"22,26",Aceptable,<10,Excelente,1076,Contaminada,23,Excelente,,,,,"66,5",Buena calidad,64,Buena calidad,"61,8",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCGNO3546,PRESA REPUBLICA ESPAÑOLA 1,GOLFO NORTE,TAMAULIPAS,ALDAMA,RÍO SAN RAFAEL 1,PRESA REPUBLICA ESPAÑOLA,LÉNTICO,PRESA,"-97,97943","23,29091",2012-2021,<2,Excelente,"21,73",Aceptable,32,Buena calidad,1274,Contaminada,9,Excelente,,,,,"74,15",Excelente,,,"74,45",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCGNO3547,PRESA LAVADEROS,GOLFO NORTE,TAMAULIPAS,SOTO LA MARINA,RÍO PALMAS,PRESA LAVADEROS,LÉNTICO,PRESA,"-98,02822","23,46970",2012-2021,<2,Excelente,<10,Excelente,29,Buena calidad,930,Aceptable,23,Excelente,,,,,"65,5",Buena calidad,"54,7",Buena calidad,"59,8",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCGNO3548,TEPEHUAJES,GOLFO NORTE,TAMAULIPAS,SOTO LA MARINA,LAGUNA MORALES,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,"-97,75864","23,49890",2012-2021,,,,,71,Buena calidad,7,Excelente,,,15,Excelente,,,69,Buena calidad,,,,,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
